    Jan-Mar_2022_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
 133   4   85.00  -83.00        0.3809
 134   4   87.00  -83.00        0.3809
 135   4   89.00  -83.00        0.3809
 136   4   91.00  -83.00        0.3809
 137   4   93.00  -83.00        0.3809
 138   4   95.00  -83.00        0.3809
 139   4   97.00  -83.00        0.3809
 140   4   99.00  -83.00        0.3809
 141   4  101.00  -83.00        0.3809
 142   4  103.00  -83.00        0.3809
 143   4  105.00  -83.00        0.3809
 144   4  107.00  -83.00        0.3809
 145   4  109.00  -83.00        0.3809
 146   4  111.00  -83.00        0.3809
 147   4  113.00  -83.00        0.3809
 148   4  115.00  -83.00        0.3809
 149   4  117.00  -83.00        0.3809
 150   4  119.00  -83.00        0.3809
 151   4  121.00  -83.00        0.3809
 152   4  123.00  -83.00        0.3809
 153   4  125.00  -83.00        0.3809
 154   4  127.00  -83.00        0.3809
